Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-07-03 ,1120,0.67,860.95,No
2021-07-04 ,3491,0.49,2697.37,No
2021-07-05 ,4072,0.4,3211.01,No
2021-07-06 ,4326,0.39,3346.57,No
2021-07-07 ,4750,0.38,3693.06,No
2021-07-08 ,4475,0.39,3507.46,No
2021-07-09 ,2335,0.37,1795.26,No
2021-07-10 ,225,0.29,176.18,No
2021-07-11 ,215,0.28,169.12,No
2021-07-12 ,1097,0.96,833.43,No
2021-07-13 ,1009,1.34,764.58,No
2021-07-14 ,4407,0.41,3444.9,No
2021-07-15 ,1062,1.04,805.45,No
2021-07-16 ,300,0.23,233.16,No
2021-07-17 ,233,0.19,182.69,No
2021-07-18 ,403,0.25,315.34,No
2021-07-19 ,3758,0.33,2944.63,No
2021-07-20 ,5552,0.45,4310.38,No
2021-07-21 ,5149,0.41,4020.42,No
2021-07-22 ,6098,0.36,4779.39,No
2021-07-23 ,901,1.36,681.51,No
2021-07-24 ,118,1.2,88.48,No
2021-07-25 ,28,0.96,20.41,No
2021-07-26 ,3568,0.3,2831.0,No
2021-07-27 ,4923,0.33,3849.99,No
2021-07-28 ,4737,0.31,3718.24,No
2021-07-29 ,5729,0.36,4468.54,No
2021-07-30 ,4714,0.3,3716.21,No
2021-07-31 ,169,1.28,126.5,No
2021-08-01 ,382,0.27,298.97,No
2021-08-02 ,2366,0.38,1853.63,No
2021-08-03 ,2485,0.33,1936.24,No
2021-08-04 ,3986,0.35,3127.95,No
2021-08-05 ,5385,0.35,4184.03,No
2021-08-06 ,1637,1.26,1231.64,No
2021-08-07 ,7,1.65,5.53,No
2021-08-08 ,4702,0.43,3675.25,No
2021-08-09 ,4021,0.35,3179.04,No
2021-08-10 ,4778,0.37,3737.67,No
2021-08-11 ,516,1.31,392.33,No
2021-08-12 ,5583,0.39,4360.73,No
2021-08-13 ,5632,0.3,4396.39,No
2021-08-14 ,578,1.18,431.52,No
2021-08-15 ,1904,0.57,1624.33,No
2021-08-16 ,5740,0.57,4470.52,No
2021-08-17 ,5144,0.49,4050.83,No
2021-08-18 ,267,1.22,200.89,No
2021-08-19 ,3140,1.21,2326.76,No
2021-08-20 ,1824,1.2,1364.09,No
2021-08-21 ,531,0.29,421.16,No
2021-08-22 ,104,1.18,76.81,No
2021-08-23 ,738,1.25,551.88,No
2021-08-24 ,1413,1.21,1052.75,No
2021-08-25 ,2903,0.31,2247.74,No
2021-08-26 ,1607,1.31,1214.34,No
2021-08-27 ,1756,1.36,1331.51,No
2021-08-28 ,14597,0.6,11234.62,Yes
2021-08-29 ,745,0.18,594.09,No
2021-08-30 ,3575,0.36,2767.25,No
2021-08-31 ,3733,0.36,2890.38,No
2021-09-01 ,4867,0.5,3867.34,No
2021-09-02 ,5754,0.36,4508.4,No
2021-09-03 ,2268,0.26,1769.92,No
2021-09-04 ,2239,0.25,1750.64,No
2021-09-05 ,41,1.88,38.24,No
2021-09-06 ,4769,0.32,3737.78,No
2021-09-07 ,4787,0.44,3693.1,No
2021-09-08 ,6475,0.41,5008.07,No
2021-09-09 ,6902,0.42,5338.25,No
2021-09-10 ,1744,0.33,1378.39,No
2021-09-11 ,448,1.26,334.62,No
2021-09-12 ,1836,1.22,1366.56,No
2021-09-13 ,7688,0.39,6009.94,No
2021-09-14 ,327,1.37,248.23,No
2021-09-15 ,2373,1.37,1811.01,No
2021-09-16 ,3200,1.4,2440.95,No
2021-09-17 ,26397,0.56,20521.93,Yes
2021-09-18 ,621,0.31,475.29,No
2021-09-19 ,432,0.22,337.11,No
2021-09-20 ,2031,0.34,1608.55,No
2021-09-22 ,236,1.24,177.67,No
2021-09-23 ,3044,1.34,2316.82,No
2021-09-24 ,1581,1.33,1194.7,No
2021-09-25 ,96,1.25,72.91,No
2021-09-26 ,221,1.26,166.97,No
2021-09-27 ,2352,1.31,1776.32,No
2021-09-28 ,1755,1.33,1334.06,No
2021-09-29 ,1373,1.34,1037.69,No
2021-09-30 ,1107,1.27,836.49,No
2021-10-01 ,3465,1.3,2630.43,No
2021-10-02 ,979,1.16,730.22,No
2021-10-03 ,277,1.07,205.17,No
2021-10-04 ,2680,1.19,1977.97,No
2021-10-05 ,72,1.21,53.18,No
2021-10-06 ,2844,1.33,2156.56,No
2021-10-07 ,2398,1.28,1804.59,No
2021-10-08 ,1737,1.32,1318.99,No
2021-10-09 ,386,0.69,298.86,No
2021-10-10 ,310,1.2,231.28,No
2021-10-11 ,2797,0.45,2143.35,No
2021-10-12 ,1395,1.23,1046.41,No
2021-10-13 ,2112,1.27,1589.66,No
2021-10-14 ,2629,1.31,1994.56,No
2021-10-15 ,1838,1.28,1395.72,No
2021-10-16 ,22268,0.44,17165.9,Yes
2021-10-17 ,6004,0.33,4678.67,No
2021-10-18 ,6740,0.56,5187.88,No
2021-10-19 ,6063,0.38,4705.65,No
2021-10-20 ,6312,0.47,4857.61,No
2021-10-21 ,6886,0.44,5317.13,No
2021-10-22 ,2721,0.34,2099.75,No
2021-10-23 ,12207,0.4,9440.38,Yes
2021-10-24 ,9154,0.34,7313.54,No
2021-10-25 ,3015,1.33,2292.91,No
2021-10-26 ,2940,1.3,2225.13,No
2021-10-27 ,7068,0.37,5447.12,No
2021-10-28 ,2450,1.21,1831.11,No
2021-10-30 ,25868,0.4,20006.47,Yes
2021-10-31 ,39,0.5,30.23,No
2021-11-01 ,3094,0.5,2400.77,No
2021-11-02 ,4817,0.31,3758.18,No
2021-11-03 ,6241,0.45,4859.25,No
2021-11-04 ,5709,0.41,4476.41,No
2021-11-05 ,5804,0.34,4469.68,No
2021-11-06 ,53,1.26,39.68,No
2021-11-07 ,11103,0.82,8410.59,Yes
2021-11-08 ,4813,0.35,3736.04,No
2021-11-09 ,5418,0.37,4218.94,No
2021-11-10 ,5924,0.34,4612.89,No
2021-11-11 ,6052,0.33,4716.46,No
2021-11-12 ,5848,0.31,4565.52,No
2021-11-13 ,2200,0.66,1685.12,No
2021-11-14 ,1322,0.29,1022.73,No
2021-11-15 ,4438,0.35,3460.27,No
2021-11-16 ,2452,1.23,1840.07,No
2021-11-17 ,6160,0.38,4825.58,No
2021-11-18 ,5827,0.35,4580.98,No
2021-11-19 ,6076,0.35,4707.37,No
2021-11-20 ,3756,0.68,2870.92,No
2021-11-21 ,5684,0.78,4389.05,No
2021-11-22 ,1327,1.16,992.17,No
2021-11-23 ,3134,0.37,2435.17,No
2021-11-24 ,6270,0.31,4880.39,No
2021-11-25 ,7020,0.4,5438.19,No
2021-11-26 ,2737,0.57,2095.59,No
2021-11-27 ,1787,1.27,1346.14,No
2021-11-28 ,188,1.0,139.66,No
