,mental_recovery,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,start_date,start_time
0,83.0,54.0,10.0,3.0,93.396225,81.0,423.0,2021-07-09 ,14:13:00.000
1,75.0,22.0,45.0,1.0,81.818184,38.0,219.0,2021-07-09 ,21:29:00.000

2,82.0,29.0,9.0,3.0,91.43836,56.0,289.0,2021-07-10 ,18:06:00.000
3,74.0,14.0,23.0,1.0,86.013985,46.0,138.0,2021-07-10 ,23:15:00.000

4,74.0,19.0,44.0,1.0,81.28342,38.0,185.0,2021-07-12 ,05:42:00.000

5,87.0,56.0,18.0,4.0,90.12346,61.0,551.0,2021-07-14 ,13:39:00.000

6,73.0,16.0,33.0,1.0,82.27848,44.0,157.0,2021-07-15 ,04:16:00.000

7,62.0,20.0,18.0,2.0,86.95652,39.0,200.0,2021-07-16 ,05:32:00.000

8,52.0,7.0,58.0,1.0,67.12329,31.0,69.0,2021-07-19 ,06:13:00.000
9,74.0,29.0,18.0,1.0,89.62656,60.0,238.0,2021-07-19 ,10:02:00.000
10,77.0,54.0,62.0,4.0,78.66972,66.0,434.0,2021-07-19 ,16:47:00.000

11,59.0,11.0,36.0,1.0,78.899086,33.0,107.0,2021-07-20 ,13:48:00.000
12,86.0,59.0,34.0,4.0,89.10257,69.0,460.0,2021-07-20 ,15:58:00.000

13,75.0,60.0,19.0,2.0,90.66667,73.0,448.0,2021-07-21 ,16:03:00.000

14,84.0,54.0,11.0,3.0,92.73608,82.0,411.0,2021-07-23 ,16:05:00.000
15,61.0,8.0,44.0,1.0,75.0,41.0,78.0,2021-07-23 ,23:23:00.000

16,74.0,25.0,12.0,1.0,91.72414,71.0,144.0,2021-07-24 ,06:08:00.000
17,82.0,54.0,23.0,3.0,88.50102,70.0,479.0,2021-07-24 ,16:15:00.000

18,60.0,13.0,61.0,1.0,73.13432,40.0,132.0,2021-07-25 ,14:29:00.000
19,82.0,48.0,14.0,3.0,90.12048,82.0,407.0,2021-07-25 ,16:47:00.000

20,70.0,9.0,23.0,0.0,81.31868,31.0,87.0,2021-07-26 ,09:02:00.000
21,79.0,56.0,33.0,2.0,86.14719,65.0,460.0,2021-07-26 ,15:02:00.000

22,70.0,19.0,22.0,0.0,84.29319,31.0,188.0,2021-07-27 ,07:39:00.000
23,85.0,60.0,42.0,4.0,85.51483,61.0,570.0,2021-07-27 ,15:04:00.000

24,64.0,30.0,27.0,1.0,85.29411,64.0,135.0,2021-07-29 ,08:43:00.000

25,86.0,55.0,11.0,4.0,89.014084,78.0,336.0,2021-07-30 ,15:58:00.000

26,85.0,47.0,16.0,3.0,92.51337,76.0,372.0,2021-07-31 ,14:50:00.000

27,79.0,31.0,19.0,2.0,91.459076,55.0,280.0,2021-08-01 ,13:24:00.000
28,74.0,22.0,6.0,1.0,96.0,47.0,224.0,2021-08-01 ,19:35:00.000

29,78.0,31.0,19.0,2.0,89.26829,65.0,202.0,2021-08-03 ,14:23:00.000
30,74.0,33.0,44.0,1.0,79.775276,58.0,177.0,2021-08-03 ,18:32:00.000

31,93.0,65.0,19.0,5.0,89.95434,83.0,434.0,2021-08-04 ,13:58:00.000

32,88.0,63.0,19.0,4.0,90.67961,76.0,507.0,2021-08-05 ,12:47:00.000

33,80.0,15.0,28.0,2.0,82.1192,44.0,149.0,2021-08-06 ,06:33:00.000
34,78.0,32.0,15.0,2.0,91.59664,65.0,235.0,2021-08-06 ,15:48:00.000
35,73.0,19.0,13.0,1.0,90.15544,51.0,191.0,2021-08-06 ,20:25:00.000

36,70.0,6.0,11.0,0.0,83.09859,37.0,67.0,2021-08-07 ,03:35:00.000
37,64.0,42.0,16.0,2.0,89.73214,62.0,222.0,2021-08-07 ,05:22:00.000
38,83.0,42.0,27.0,3.0,91.01796,67.0,330.0,2021-08-07 ,16:18:00.000
39,73.0,32.0,13.0,1.0,87.89809,73.0,145.0,2021-08-07 ,22:25:00.000

40,72.0,28.0,12.0,1.0,81.617645,73.0,119.0,2021-08-09 ,09:10:00.000
41,75.0,48.0,12.0,1.0,94.07745,56.0,438.0,2021-08-09 ,14:12:00.000

42,70.0,13.0,16.0,0.0,87.30159,44.0,62.0,2021-08-10 ,08:32:00.000
43,83.0,47.0,17.0,4.0,90.588234,73.0,242.0,2021-08-10 ,12:09:00.000

44,69.0,70.0,20.0,3.0,91.54929,57.0,638.0,2021-08-11 ,11:02:00.000

45,75.0,53.0,24.0,3.0,89.85802,62.0,491.0,2021-08-12 ,13:50:00.000

46,89.0,45.0,22.0,4.0,90.16787,71.0,416.0,2021-08-13 ,11:47:00.000

47,73.0,17.0,11.0,1.0,94.91525,51.0,167.0,2021-08-15 ,07:05:00.000
48,76.0,51.0,20.0,4.0,91.31579,78.0,380.0,2021-08-15 ,15:00:00.000

49,69.0,19.0,24.0,2.0,86.982254,49.0,168.0,2021-08-16 ,10:16:00.000
50,70.0,16.0,34.0,0.0,79.518074,31.0,163.0,2021-08-16 ,13:44:00.000
51,77.0,41.0,18.0,2.0,89.562294,62.0,292.0,2021-08-16 ,16:30:00.000

52,81.0,49.0,13.0,4.0,92.30769,62.0,443.0,2021-08-17 ,14:38:00.000

53,72.0,67.0,24.0,4.0,89.48498,72.0,463.0,2021-08-19 ,13:57:00.000

54,73.0,9.0,18.0,1.0,77.57009,51.0,91.0,2021-08-20 ,08:27:00.000
55,72.0,9.0,20.0,1.0,89.69072,47.0,89.0,2021-08-20 ,14:27:00.000

56,70.0,31.0,9.0,1.0,94.27481,56.0,256.0,2021-08-21 ,08:57:00.000
57,55.0,56.0,21.0,4.0,88.6076,49.0,470.0,2021-08-21 ,15:15:00.000

58,75.0,27.0,20.0,1.0,91.747574,60.0,193.0,2021-08-22 ,15:49:00.000
59,76.0,22.0,24.0,2.0,79.49791,41.0,221.0,2021-08-22 ,19:08:00.000

60,73.0,14.0,6.0,1.0,96.794876,52.0,144.0,2021-08-23 ,13:55:00.000
61,74.0,16.0,10.0,1.0,92.70073,56.0,134.0,2021-08-23 ,16:21:00.000
62,76.0,26.0,15.0,2.0,85.06224,56.0,224.0,2021-08-23 ,19:41:00.000

63,79.0,44.0,17.0,2.0,92.12329,72.0,276.0,2021-08-24 ,14:09:00.000
64,66.0,52.0,25.0,3.0,82.4,62.0,364.0,2021-08-24 ,18:49:00.000

65,84.0,19.0,11.0,3.0,91.53439,56.0,186.0,2021-08-25 ,05:34:00.000

66,74.0,23.0,15.0,1.0,89.617485,63.0,179.0,2021-08-28 ,05:05:00.000

67,70.0,47.0,19.0,0.0,86.666664,47.0,374.0,2021-08-29 ,17:25:00.000

68,70.0,7.0,26.0,0.0,72.0,31.0,67.0,2021-08-30 ,06:00:00.000

69,80.0,62.0,31.0,3.0,85.71429,64.0,544.0,2021-08-31 ,15:06:00.000

70,32.0,29.0,27.0,1.0,86.124405,47.0,208.0,2021-09-01 ,14:53:00.000
71,73.0,30.0,27.0,1.0,85.94378,59.0,239.0,2021-09-01 ,20:22:00.000

72,70.0,10.0,8.0,0.0,89.87341,43.0,66.0,2021-09-02 ,21:40:00.000
73,78.0,15.0,19.0,2.0,85.71429,43.0,146.0,2021-09-02 ,23:20:00.000

74,73.0,11.0,31.0,1.0,80.0,49.0,107.0,2021-09-03 ,06:29:00.000
75,77.0,53.0,42.0,2.0,82.97873,62.0,417.0,2021-09-03 ,16:35:00.000

76,70.0,10.0,38.0,0.0,76.0,31.0,97.0,2021-09-04 ,04:40:00.000
77,79.0,76.0,12.0,5.0,93.02789,76.0,499.0,2021-09-04 ,12:21:00.000
78,75.0,26.0,20.0,1.0,88.535034,69.0,155.0,2021-09-04 ,21:51:00.000

79,80.0,21.0,8.0,2.0,94.7619,52.0,207.0,2021-09-08 ,17:57:00.000

80,83.0,49.0,14.0,3.0,93.04348,75.0,332.0,2021-09-10 ,12:52:00.000
81,60.0,17.0,14.0,1.0,91.0828,57.0,155.0,2021-09-10 ,18:25:00.000

82,70.0,15.0,20.0,0.0,85.2349,31.0,146.0,2021-09-11 ,09:06:00.000
83,88.0,56.0,17.0,4.0,88.17734,75.0,399.0,2021-09-11 ,16:45:00.000

84,70.0,76.0,24.0,3.0,86.73684,79.0,474.0,2021-09-12 ,14:04:00.000

85,70.0,10.0,22.0,0.0,82.432434,36.0,73.0,2021-09-13 ,09:54:00.000

86,69.0,43.0,17.0,3.0,90.26549,55.0,337.0,2021-09-14 ,16:23:00.000

87,73.0,8.0,23.0,1.0,87.09677,45.0,81.0,2021-09-15 ,13:53:00.000

88,77.0,28.0,16.0,2.0,85.86956,57.0,178.0,2021-09-16 ,05:10:00.000
89,74.0,18.0,67.0,1.0,75.0,50.0,162.0,2021-09-16 ,15:02:00.000

90,89.0,59.0,17.0,4.0,92.15686,80.0,406.0,2021-09-17 ,14:57:00.000

91,74.0,9.0,39.0,1.0,74.0,44.0,93.0,2021-09-18 ,08:52:00.000

92,73.0,11.0,15.0,1.0,83.78378,62.0,69.0,2021-09-19 ,06:55:00.000

93,70.0,6.0,10.0,0.0,88.88889,38.0,62.0,2021-09-21 ,07:50:00.000
94,79.0,90.0,25.0,2.0,90.25875,74.0,656.0,2021-09-21 ,13:02:00.000

95,75.0,43.0,22.0,2.0,87.5,71.0,244.0,2021-09-22 ,15:33:00.000
96,78.0,46.0,11.0,2.0,92.98246,71.0,113.0,2021-09-22 ,20:05:00.000

97,83.0,51.0,16.0,3.0,93.08642,71.0,405.0,2021-09-23 ,14:38:00.000

98,70.0,16.0,19.0,0.0,77.653625,34.0,162.0,2021-09-24 ,04:18:00.000
99,84.0,41.0,10.0,3.0,94.19355,73.0,145.0,2021-09-24 ,14:18:00.000
100,70.0,41.0,8.0,0.0,91.74312,48.0,325.0,2021-09-24 ,16:51:00.000

101,74.0,28.0,24.0,1.0,86.33093,64.0,138.0,2021-09-25 ,05:05:00.000

102,83.0,34.0,15.0,3.0,90.640396,73.0,198.0,2021-09-26 ,19:16:00.000

103,74.0,11.0,27.0,1.0,79.31035,44.0,107.0,2021-09-27 ,07:09:00.000
104,74.0,10.0,40.0,1.0,82.10526,39.0,95.0,2021-09-27 ,14:05:00.000
105,77.0,40.0,14.0,2.0,92.99191,66.0,370.0,2021-09-27 ,15:43:00.000

106,70.0,6.0,70.0,0.0,53.521126,29.0,63.0,2021-09-28 ,09:10:00.000
107,79.0,64.0,12.0,3.0,93.92405,84.0,394.0,2021-09-28 ,16:02:00.000

108,74.0,31.0,17.0,1.0,83.33333,72.0,146.0,2021-09-29 ,07:12:00.000
109,74.0,50.0,19.0,1.0,90.68182,71.0,424.0,2021-09-29 ,16:02:00.000

110,70.0,32.0,7.0,0.0,79.64601,53.0,96.0,2021-09-30 ,06:36:00.000
111,69.0,37.0,30.0,3.0,85.9425,55.0,311.0,2021-09-30 ,15:32:00.000
112,69.0,12.0,24.0,2.0,75.93985,36.0,117.0,2021-09-30 ,21:07:00.000

113,71.0,56.0,31.0,3.0,87.60504,66.0,473.0,2021-10-01 ,14:02:00.000
114,74.0,7.0,13.0,1.0,90.76923,46.0,65.0,2021-10-01 ,22:46:00.000

115,84.0,53.0,14.0,3.0,92.74004,76.0,426.0,2021-10-02 ,13:00:00.000
116,78.0,40.0,15.0,2.0,88.19444,67.0,142.0,2021-10-02 ,21:08:00.000

117,70.0,30.0,34.0,0.0,74.64789,46.0,69.0,2021-10-03 ,08:37:00.000

118,74.0,61.0,27.0,1.0,83.90804,70.0,332.0,2021-10-04 ,15:37:00.000
119,74.0,12.0,24.0,1.0,87.786255,46.0,115.0,2021-10-04 ,21:34:00.000

120,81.0,49.0,19.0,3.0,91.01942,67.0,411.0,2021-10-06 ,15:25:00.000

121,70.0,43.0,19.0,3.0,90.74074,69.0,321.0,2021-10-07 ,15:39:00.000

122,70.0,23.0,29.0,0.0,77.92207,46.0,76.0,2021-10-08 ,07:38:00.000

123,80.0,63.0,26.0,2.0,85.01629,69.0,297.0,2021-10-09 ,14:03:00.000
124,77.0,31.0,18.0,2.0,86.08696,59.0,212.0,2021-10-09 ,19:41:00.000

125,,,,,98.828125,,,2021-10-12 ,13:47:00.000

126,80.0,93.0,28.0,2.0,87.60933,70.0,682.0,2021-10-16 ,12:03:00.000

127,81.0,55.0,14.0,3.0,92.45283,76.0,422.0,2021-10-17 ,14:02:00.000
128,71.0,19.0,26.0,1.0,85.593216,54.0,118.0,2021-10-17 ,21:09:00.000

129,79.0,27.0,29.0,2.0,83.17308,59.0,205.0,2021-10-18 ,04:05:00.000

130,81.0,99.0,32.0,3.0,89.35574,78.0,695.0,2021-10-20 ,11:06:00.000

131,77.0,28.0,64.0,2.0,74.91166,36.0,281.0,2021-10-21 ,12:27:00.000
132,75.0,38.0,14.0,1.0,91.056915,64.0,366.0,2021-10-21 ,17:24:00.000

133,91.0,81.0,18.0,8.0,91.034485,66.0,578.0,2021-10-22 ,14:05:00.000

134,70.0,11.0,47.0,0.0,65.6,31.0,108.0,2021-10-23 ,11:56:00.000
135,81.0,51.0,45.0,3.0,84.82143,62.0,446.0,2021-10-23 ,14:49:00.000
136,74.0,28.0,15.0,1.0,78.888885,73.0,79.0,2021-10-23 ,22:19:00.000

137,75.0,34.0,2.0,1.0,98.630135,69.0,201.0,2021-10-25 ,12:25:00.000

138,89.0,69.0,7.0,5.0,95.25773,80.0,484.0,2021-10-26 ,13:42:00.000
139,74.0,16.0,16.0,1.0,89.42308,62.0,104.0,2021-10-26 ,22:14:00.000

140,70.0,10.0,16.0,0.0,89.565216,34.0,101.0,2021-10-27 ,14:02:00.000

141,78.0,56.0,17.0,2.0,91.9598,75.0,380.0,2021-10-28 ,14:23:00.000
142,74.0,22.0,15.0,1.0,91.51515,63.0,164.0,2021-10-28 ,21:10:00.000

143,84.0,83.0,10.0,3.0,94.88189,90.0,507.0,2021-10-30 ,11:36:00.000
144,62.0,27.0,67.0,2.0,75.59808,45.0,205.0,2021-10-30 ,20:19:00.000

145,70.0,7.0,19.0,0.0,86.11111,31.0,70.0,2021-11-01 ,09:48:00.000
146,85.0,55.0,25.0,4.0,84.095856,63.0,454.0,2021-11-01 ,16:16:00.000

147,94.0,82.0,40.0,5.0,86.57817,66.0,675.0,2021-11-02 ,12:22:00.000

148,74.0,80.0,28.0,1.0,87.230995,64.0,695.0,2021-11-04 ,12:19:00.000

149,78.0,23.0,6.0,2.0,92.608696,48.0,227.0,2021-11-05 ,12:02:00.000
150,75.0,21.0,27.0,1.0,80.35714,59.0,109.0,2021-11-05 ,15:54:00.000
151,77.0,27.0,28.0,2.0,86.79245,53.0,263.0,2021-11-05 ,18:29:00.000

152,71.0,68.0,26.0,3.0,88.40125,56.0,635.0,2021-11-06 ,12:55:00.000

153,77.0,21.0,28.0,2.0,82.88288,64.0,109.0,2021-11-07 ,08:40:00.000
154,81.0,43.0,17.0,3.0,90.74551,71.0,387.0,2021-11-07 ,15:32:00.000

155,78.0,45.0,15.0,2.0,92.77778,65.0,357.0,2021-11-08 ,13:45:00.000
156,74.0,21.0,14.0,1.0,89.22156,66.0,151.0,2021-11-08 ,20:36:00.000

157,80.0,10.0,27.0,2.0,83.49515,41.0,102.0,2021-11-09 ,12:02:00.000
158,88.0,44.0,27.0,4.0,89.95098,65.0,405.0,2021-11-09 ,13:47:00.000
159,73.0,34.0,24.0,1.0,83.977905,65.0,179.0,2021-11-09 ,20:57:00.000

160,70.0,8.0,28.0,0.0,77.77778,31.0,79.0,2021-11-11 ,11:03:00.000
161,34.0,16.0,30.0,1.0,83.33333,45.0,139.0,2021-11-11 ,14:32:00.000
162,78.0,50.0,17.0,3.0,91.17647,77.0,360.0,2021-11-11 ,17:06:00.000
163,70.0,9.0,8.0,0.0,92.78351,38.0,91.0,2021-11-11 ,23:08:00.000

164,57.0,18.0,18.0,1.0,87.431694,41.0,182.0,2021-11-12 ,09:03:00.000

165,91.0,50.0,11.0,5.0,93.27549,67.0,457.0,2021-11-13 ,11:51:00.000
166,75.0,25.0,20.0,4.0,85.04273,52.0,231.0,2021-11-13 ,20:02:00.000

167,62.0,77.0,22.0,4.0,87.62712,73.0,586.0,2021-11-14 ,14:09:00.000

168,74.0,21.0,23.0,1.0,83.870964,65.0,62.0,2021-11-15 ,12:24:00.000
169,80.0,73.0,17.0,7.0,89.60818,67.0,585.0,2021-11-15 ,14:07:00.000

170,95.0,85.0,27.0,6.0,87.89893,63.0,751.0,2021-11-16 ,11:21:00.000

171,61.0,10.0,41.0,1.0,78.50468,41.0,103.0,2021-11-18 ,11:03:00.000
172,59.0,10.0,53.0,1.0,75.229355,35.0,104.0,2021-11-18 ,13:57:00.000
173,70.0,60.0,9.0,0.0,91.903725,59.0,442.0,2021-11-18 ,16:25:00.000

174,66.0,11.0,70.0,2.0,72.32143,40.0,110.0,2021-11-19 ,11:32:00.000
175,87.0,75.0,15.0,4.0,90.45045,82.0,538.0,2021-11-19 ,14:10:00.000

176,79.0,17.0,2.0,2.0,97.126434,54.0,173.0,2021-11-20 ,14:32:00.000
177,74.0,57.0,23.0,2.0,85.71429,69.0,394.0,2021-11-20 ,17:28:00.000

178,73.0,8.0,55.0,1.0,74.71265,43.0,84.0,2021-11-21 ,07:52:00.000

179,75.0,69.0,0.0,1.0,100.0,70.0,491.0,2021-11-23 ,04:03:00.000
180,,,,,98.4127,,,2021-11-23 ,12:19:00.000

181,83.0,69.0,13.0,3.0,92.53438,88.0,489.0,2021-11-24 ,13:56:00.000
182,70.0,13.0,45.0,0.0,68.83117,41.0,74.0,2021-11-24 ,22:39:00.000

183,73.0,8.0,10.0,1.0,91.358025,51.0,79.0,2021-11-25 ,11:44:00.000
184,70.0,63.0,10.0,0.0,90.59675,54.0,551.0,2021-11-25 ,13:17:00.000

185,88.0,37.0,23.0,4.0,92.24138,64.0,337.0,2021-11-26 ,13:11:00.000

186,56.0,52.0,20.0,3.0,86.40777,71.0,199.0,2021-11-28 ,08:47:00.000
187,87.0,73.0,20.0,4.0,89.75903,62.0,664.0,2021-11-28 ,12:34:00.000

188,75.0,6.0,22.0,1.0,86.36364,45.0,64.0,2021-11-29 ,02:48:00.000

